transaction_id,transaction_amount,customer_first_name,customer_id,customer_last_name,transaction_date
777,"243,33",Andrzej,1,Andrzejowski,11.12.2020 14:57:22
778,"199,11",Andrzej,1,Andrzejowski,01.12.2020 13:22:11
779,"33,11",Andrzej,1,Andrzejowski,01.12.2020 13:22:12
780,"221,33",Andrzej,1,Andrzejowski,01.12.2020 13:22:13
800,"999,99",Andrzej,1,Andrzejowski,15.12.2020 11:12:47
782,"322,12",Andrzej,1,Andrzejowski,08.12.2020 09:00:00
799,"332,11",Andrzej,1,Andrzejowski,11.12.2020 14:57:22
798,"345,67",Andrzej,1,Andrzejowski,11.12.2020 14:57:23
797,"44,22",Andrzej,1,Andrzejowski,11.12.2020 14:57:24
796,"1,22",Andrzej,1,Andrzejowski,11.12.2020 14:57:25
795,"22,01",Andrzej,1,Andrzejowski,01.12.2020 23:00:21
794,"32,99",Andrzej,1,Andrzejowski,01.12.2020 23:00:22
793,"122,99",Andrzej,1,Andrzejowski,01.12.2020 23:00:23
792,"32,00",Andrzej,1,Andrzejowski,01.12.2020 23:00:24
791,"277,87",Andrzej,1,Andrzejowski,01.12.2020 23:00:25
790,"99,00",Andrzej,1,Andrzejowski,01.12.2020 23:00:26
789,"22,32",Andrzej,1,Andrzejowski,03.12.2020 22:21:01
788,"755,21",Andrzej,1,Andrzejowski,03.12.2020 22:21:02
787,"99,11",Andrzej,1,Andrzejowski,03.12.2020 22:21:03
786,"29,22",Andrzej,1,Andrzejowski,03.12.2020 22:21:04
785,"1,22",Andrzej,1,Andrzejowski,03.12.2020 22:21:05
784,"322,22",Andrzej,1,Andrzejowski,03.12.2020 22:21:06
783,"9,21",Andrzej,1,Andrzejowski,03.12.2020 22:21:07
300,"212,00",Anna,2,Zaradna,01.12.2020 01:01:00
301,"21,22",Anna,2,Zaradna,01.12.2020 01:01:01
302,"10,05",Anna,2,Zaradna,01.12.2020 01:01:02
303,"22,31",Anna,2,Zaradna,01.12.2020 01:01:03
304,"15111,21",Anna,2,Zaradna,01.12.2020 01:01:04
316,"20,00",Anna,2,Zaradna,29.12.2020 11:40:31
306,"24,21",Anna,2,Zaradna,14.12.2020 06:53:00
307,"37,77",Anna,2,Zaradna,14.12.2020 06:53:01
308,"22,31",Anna,2,Zaradna,14.12.2020 06:53:02
309,"5999,00",Anna,2,Zaradna,14.12.2020 06:53:03
310,"100,01",Anna,2,Zaradna,14.12.2020 06:53:04
311,"99,99",Anna,2,Zaradna,14.12.2020 06:53:05
312,"88,02",Anna,2,Zaradna,21.12.2020 21:05:05
313,"100,00",Anna,2,Zaradna,21.12.2020 21:05:06
314,"24,21",Anna,2,Zaradna,21.12.2020 21:05:07
315,"37,77",Anna,2,Zaradna,21.12.2020 21:05:08
402,"5,00",Micha?,3,Micha?owski,29.12.2020 21:00:03
111,"500,00",Jakub,4,Jakubowski,21.12.2020 13:21:00
112,"30,50",Jakub,4,Jakubowski,31.12.2020 00:00:01
113,"441,21",Jakub,4,Jakubowski,16.12.2020 07:21:30
114,"10,00",Jakub,4,Jakubowski,16.12.2020 07:21:31
115,"27,31",Jakub,4,Jakubowski,16.12.2020 07:21:32
116,"1050,00",Jakub,4,Jakubowski,16.12.2020 07:21:33
211,"999,00",Jacek,5,Jackowski,21.12.2020 14:00:05
212,"244,77",Jacek,5,Jackowski,29.12.2020 05:05:20
213,"200,01",Jacek,5,Jackowski,04.12.2020 11:31:20
223,"250,21",Jacek,5,Jackowski,08.12.2020 14:00:01
215,"99,99",Jacek,5,Jackowski,22.12.2020 22:00:00
216,"1700,01",Jacek,5,Jackowski,22.12.2020 22:00:01
